issue,file,note
legacy_access_transformer,src/main/resources/ancientwarfare_at.cfg,class/member names require 1.20.1 Mojmap remap
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/animal_farm.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/auto_crafting.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/chunk_loader_deluxe.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/chunk_loader_simple.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/component.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/crop_farm.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/fish_farm.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/fruit_farm.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/mailbox.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/quarry.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/tree_farm.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/warehouse_control.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/warehouse_crafting.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/warehouse_interface.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/warehouse_stock_linker.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/warehouse_stock_viewer.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/warehouse_storage.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/automation/worksite_upgrade.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/core/engineering_station.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/core/research_station.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/npc/bard_instrument.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/npc/headquarters.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/npc/npc_spawner.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/npc/town_hall.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/advanced_spawner.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/altar_candle.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/altar_lectern.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/altar_long_cloth.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/altar_short_cloth.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/altar_sun.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/bench.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/brazier_ember.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/brazier_flame.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/chair.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/coin_stack_ancient.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/coin_stack_copper.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/coin_stack_gold.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/coin_stack_silver.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/drafting_station.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/fire_pit.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/gate_spawner.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/gibbet.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/goblin_totem_1.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/goblin_totem_2.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/goblin_totem_2_lit.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/golden_idol.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/golden_throne.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/gravestone.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/iron_cage.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/loot_basket.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/orc_totem_1.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/orc_totem_2.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/orc_totem_2_lit.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/scissor_seat.json,Forge 1.12 extended blockstate/model format requires model rewrite
forge_marker_blockstate,src/main/resources/assets/ancientwarfare/blockstates/structure/stake.json,Forge 1.12 extended blockstate/model format requires model rewrite
